category,layer,jaccard_top6,jsd,d_entropy,d_concentration
creative,51,0.43333333333333335,0.037950104941524114,0.0020888157048534564,-0.004371378309962242
factual,1,0.436525974025974,0.012160756482394555,-0.013824257978604796,0.0011073932605050307
factual,3,0.5851190476190476,0.013222406907300402,-0.004043232548037771,0.0012829988783161072
factual,6,0.6001984126984127,0.019523183645608153,-0.0012713922791084409,-0.0025829612539385017
factual,8,0.7132936507936508,0.025408893594226097,-0.03167142802835771,0.001019829740140911
factual,10,0.6954365079365079,0.028273598918400655,-0.009448078083963196,0.00186811741846486
factual,13,0.7162698412698413,0.030784735330146376,0.023737054895563547,0.0010190988675963877
factual,15,0.6537698412698413,0.029759343409150273,0.009324537884560688,0.0017315431241452788
factual,17,0.7103174603174603,0.024677400489676066,-0.007312072127097373,0.002883767265616115
factual,20,0.6626984126984127,0.02720338081883227,0.005290900081510989,0.00038840420956789214
factual,22,0.6240079365079365,0.02183180731680642,-0.005499066123959506,0.002786012854185073
factual,24,0.610515873015873,0.027419998110135995,0.013922080739012651,0.0012654901213604247
factual,27,0.6200396825396826,0.024182452615874345,0.0025930155149877696,0.002733149140074888
factual,29,0.6795634920634921,0.020552284147481448,0.017749594809334596,-0.0065367656284193556
factual,31,0.6815476190476191,0.02052457131971566,0.006118648074772119,-0.0035864773824444474
factual,34,0.6091269841269841,0.022189033332330754,0.04654709996017296,-0.006614941915458559
factual,36,0.621031746031746,0.022879328884691113,0.05696447858685261,-0.01601617486428518
factual,38,0.6601190476190476,0.02633676179660177,0.04614967269530087,-0.012169470710297002
factual,40,0.683531746031746,0.025927242231073913,0.03790772522265016,-0.0056218542152358525
factual,43,0.6755952380952381,0.027907630643704866,0.028075381421146278,-0.009495264767034021
factual,45,0.5793650793650794,0.025205966357678775,-0.0017807176844167143,-0.005492798850069025
factual,47,0.6577380952380952,0.023183217037613824,0.007909621098671623,-0.005266959867727044
factual,49,0.6121031746031746,0.031091228754676372,-0.0009569460286883066,-0.009464007375563637
factual,51,0.6194444444444445,0.020068005112208055,0.012129782920144808,-0.0036758277897748007
reasoning,1,0.3772967772967773,0.02038739889755379,-0.03360226503336689,0.0031535060763611487
reasoning,3,0.4248917748917749,0.026248584769762807,-0.05256392389133483,0.0014443479677522671
reasoning,6,0.5732804232804233,0.03619452685460456,-0.06909107000693623,-0.0008313492658509341
reasoning,8,0.39446849446849447,0.04415302440941921,-0.07334508836392849,0.003422041519952797
reasoning,10,0.506902356902357,0.04420791430396242,-0.08382051070720414,0.006136383859732978
reasoning,13,0.5216931216931218,0.046860089415153613,-0.0754093645910386,-0.003193427282244877
reasoning,15,0.4227513227513227,0.04885352796554392,-0.06030558624078895,0.0012183162223595775
reasoning,17,0.4145983645983646,0.0385510550900201,-0.07164673049849596,0.006811620444102249
reasoning,20,0.5031746031746032,0.04548463718982875,-0.04261233834338834,0.0019836371473693024
reasoning,22,0.4812169312169312,0.036601929900255056,-0.04493783586561771,0.01017814036240405
reasoning,24,0.533886483886484,0.042323510010987005,-0.05956381305340135,0.004978913482430125
reasoning,27,0.45187590187590193,0.04027242707819228,-0.029941729610051235,0.003953039940624568
reasoning,29,0.5071428571428571,0.0346980788262949,-0.06255021797837536,0.0041153623349043525
reasoning,31,0.51010101010101,0.0352066821904036,-0.05525462756831375,0.002204856658611561
reasoning,34,0.4876142376142376,0.033140269396920746,-0.03964436162678645,0.0036246153862303856
reasoning,36,0.45165945165945165,0.03621827936766665,-0.020315181402129574,-0.004422429917235609
reasoning,38,0.4296536796536797,0.041380019750255105,-0.037438751803279,0.000856592069574884
