layer,expert,total_mass,selectivity,top_category,share_computational,share_creative,share_factual,share_reasoning,share_social_ethical,share_symbolic
8,31,2006.9169921875,0.31262192329944827,symbolic,0.07977731313041858,0.029672402525834723,0.10989921088345336,0.30996509630024677,0.15806405386059832,0.31262192329944827
8,32,935.4234619140625,0.41716476429758675,factual,0.028558568986592568,0.008217028629429066,0.41716476429758675,0.37828685386342065,0.045787485796991226,0.12198529842597973
8,33,762.989013671875,0.37606549078571855,symbolic,0.09125039237451135,0.0346604684559691,0.22651872534360168,0.2156080740995065,0.055896848940692814,0.37606549078571855
8,34,751.6513671875,0.2734279080825942,factual,0.07823626624190747,0.04762820404551957,0.2734279080825942,0.2389465382861434,0.16441597991921433,0.19734510342462105
8,35,1146.358642578125,0.2524459134679378,social_ethical,0.07190843970324684,0.046300222447734365,0.212373801641364,0.21435208503487926,0.2524459134679378,0.20261953770483773
8,36,1155.97509765625,0.29322670465993395,social_ethical,0.04916012548591578,0.08074871686131457,0.29083741193535456,0.21056758849337912,0.29322670465993395,0.07545945256410203
8,37,1036.101318359375,0.7084228054999787,factual,0.01605821666115676,0.0,0.7084228054999787,0.033089837085057486,0.23290575985933598,0.00952338089447111
8,38,2449.040771484375,0.33966632942126673,symbolic,0.030422964348186785,0.27500323737640026,0.10142543252993563,0.16912313504440266,0.08435890127980791,0.33966632942126673
8,39,1995.21533203125,0.5604295407886201,factual,0.02420120791904265,0.007261757314434606,0.5604295407886201,0.0993020167143026,0.1662034613568936,0.1426020159067065
8,40,2068.9102783203125,0.2961554208324943,reasoning,0.03813290286882395,0.022539794494065644,0.24207403917972037,0.2961554208324943,0.16943303521671782,0.23166480740817794
8,41,3375.4317626953125,0.3873325377898523,symbolic,0.06623056794275124,0.03202722510506378,0.12100741452455246,0.2445790264750925,0.14882322816268767,0.3873325377898523
8,42,2134.16845703125,0.3361651715473015,symbolic,0.0678483482456323,0.05050863953937709,0.24230886178819006,0.2036950180711576,0.0994739608083414,0.3361651715473015
8,43,2406.9632568359375,0.29958408736695996,symbolic,0.213481565909618,0.05258496073835257,0.15471428593888287,0.18625333409947528,0.09338176594671131,0.29958408736695996
8,44,1254.8228759765625,0.3528466194251107,reasoning,0.09614389169755093,0.02939887498517682,0.16522588773452118,0.3528466194251107,0.13103933271521043,0.22534539344243
8,45,1445.625,0.38403841736921746,reasoning,0.05980632565931691,0.044176428069606574,0.2044622108733247,0.38403841736921746,0.10935203199308258,0.19816458603545178
8,46,1374.9066162109375,0.413594673288802,reasoning,0.020239655836000937,0.02122400891040629,0.26405007087217836,0.413594673288802,0.06739165080014756,0.21349994029246483
