category,layer,jaccard_top6,jsd
factual,20,0.08929292929292929,0.2536977376405853
factual,22,0.17025252525252524,0.1478875467177567
factual,24,0.09833333333333334,0.2363457202318284
factual,27,0.09287878787878788,0.20432078973317422
factual,29,0.13308080808080808,0.17754007958769663
factual,31,0.09498556998556998,0.21509868299628906
factual,34,0.10904040404040405,0.21103758614853643
factual,36,0.06535353535353536,0.25686388993706466
factual,38,0.028585858585858586,0.3097681389277238
factual,40,0.08646464646464648,0.28806323288789126
factual,43,0.05388888888888889,0.25324708798839585
factual,45,0.03626262626262626,0.2304773842285048
factual,47,0.07424242424242425,0.2145843446435854
factual,49,0.09055555555555556,0.22525352910931665
factual,51,0.09065656565656566,0.13113116449296155
reasoning,1,0.08585858585858586,0.05632239099989571
reasoning,3,0.07505050505050505,0.07384255766339042
reasoning,6,0.10868686868686869,0.10213220411477314
reasoning,8,0.06737373737373738,0.16300648760193004
reasoning,10,0.048484848484848485,0.2147283667003784
reasoning,13,0.09303030303030303,0.19985757406900842
reasoning,15,0.09808080808080807,0.1846154040504774
reasoning,17,0.1243939393939394,0.14607080177272425
reasoning,20,0.09914141414141414,0.18950442017640803
reasoning,22,0.19624819624819623,0.10785589607263026
reasoning,24,0.10333333333333333,0.1727526691397621
reasoning,27,0.150959595959596,0.15435914696535308
reasoning,29,0.1948845598845599,0.11850535534802065
reasoning,31,0.15217171717171718,0.15331192063082053
reasoning,34,0.13080808080808082,0.15404070544964524
reasoning,36,0.13505050505050506,0.14271760729820965
reasoning,38,0.09383838383838385,0.16068614175595924
reasoning,40,0.14136363636363639,0.15998215718935796
reasoning,43,0.12914141414141414,0.1444544654006142
reasoning,45,0.09666666666666666,0.11406964549492042
reasoning,47,0.15555555555555556,0.11771863689705236
reasoning,49,0.20242424242424242,0.10680118559076639
reasoning,51,0.08474747474747475,0.07505818944784744
social_ethical,1,0.14484848484848487,0.04330699614603682
social_ethical,3,0.13873737373737374,0.05291233929510662
social_ethical,6,0.2126767676767677,0.06770239587881083
social_ethical,8,0.13215728715728717,0.17291507192465302
social_ethical,10,0.12207070707070707,0.22943906789940904
social_ethical,13,0.16443001443001443,0.20559086609943267
social_ethical,15,0.1657936507936508,0.1998299946145602
social_ethical,17,0.207979797979798,0.1460822823430617
social_ethical,20,0.3094011544011544,0.1601011579453208
social_ethical,22,0.1938888888888889,0.0971698460602883
social_ethical,24,0.20256132756132755,0.17951857527629628
social_ethical,27,0.19880952380952382,0.13559646806387685
social_ethical,29,0.19065656565656566,0.11926667966715246
social_ethical,31,0.1781818181818182,0.13527870659525534
social_ethical,34,0.15272727272727274,0.12756605221055745
social_ethical,36,0.18595959595959596,0.16758376291961846
social_ethical,38,0.14383838383838385,0.17377320219631665
social_ethical,40,0.10959595959595961,0.18096102161704003
social_ethical,43,0.13106060606060607,0.15784842447591607
social_ethical,45,0.12666666666666668,0.13037504944842168
social_ethical,47,0.17238095238095238,0.10650771320744552
social_ethical,49,0.15601010101010102,0.11316151507641073
social_ethical,51,0.29023088023088023,0.06583457650057996
symbolic,1,0.09176767676767676,0.06220134241845835
symbolic,3,0.11318181818181819,0.07032056122998041
symbolic,6,0.29832611832611833,0.09397736414583605
symbolic,8,0.10921356421356422,0.14790248776672363
symbolic,10,0.2718398268398268,0.16107239609591906
symbolic,13,0.23635642135642138,0.14858485356131268
symbolic,15,0.2556132756132756,0.1306554946545533
symbolic,17,0.26445165945165944,0.09498412089623466
symbolic,20,0.26614718614718613,0.10745784088607553
symbolic,22,0.39396825396825397,0.07123564643527483
symbolic,24,0.3418975468975469,0.11430209077259608
symbolic,27,0.3467099567099567,0.09467450107868143
symbolic,29,0.27990620490620494,0.09391103764454585
symbolic,31,0.2662193362193362,0.11067556227795446
symbolic,34,0.262041847041847,0.12096360562418114
symbolic,36,0.258997113997114,0.11254685574032491
symbolic,38,0.2122005772005772,0.13001062571812053
symbolic,40,0.14784992784992784,0.15875439476616549
symbolic,43,0.20388167388167389,0.13136164521503338
symbolic,45,0.17882395382395383,0.1004723292880551
symbolic,47,0.2326839826839827,0.09369898081619134
symbolic,49,0.23886002886002886,0.1002253715487664
symbolic,51,0.21044733044733047,0.07095419081241247
