expert,mass,mass_share,top_category,selectivity,enrichment,lora_mass_share,delta
69,948.417724609375,0.004188573685204544,factual,0.39,1.69,0.003441116106337634,-0.00075
43,937.53173828125,0.004140497025850396,social_ethical,0.583,5.19,0.004031128310109797,-0.00011
85,936.029052734375,0.004133860594481118,reasoning,0.291,1.36,0.0036498516935860375,-0.00048
16,934.076171875,0.004125235929245884,factual,0.334,1.96,0.004288701226119466,0.00016
37,875.765380859375,0.003867713280233706,factual,0.415,1.8,0.0032126685325170176,-0.00066
22,843.3099365234375,0.0037243776839455626,social_ethical,0.303,2.69,0.004575673291971792,0.00085
39,805.7880859375,0.003558666909139909,factual,0.255,2.17,0.003097724512430921,-0.00046
95,802.68603515625,0.00354496707210042,reasoning,0.483,2.08,0.003472402689175896,-7e-05
29,790.081298828125,0.0034892997585074864,social_ethical,0.51,4.54,0.0028717563589044154,-0.00062
1,771.324462890625,0.0034064624312550146,factual,0.492,2.14,0.003836045227012512,0.00043
123,770.541748046875,0.003403005664566159,reasoning,0.457,1.97,0.004051825138440038,0.00065
88,748.1708984375,0.0033042074772715365,social_ethical,0.33,2.93,0.0036055219097942065,0.0003
54,747.2861328125,0.003300300015487253,social_ethical,0.524,4.66,0.0036226733077955476,0.00032
114,744.039306640625,0.0032859607952142973,social_ethical,0.445,3.96,0.0024552830130899175,-0.00083
40,728.05419921875,0.0032153644761397987,factual,0.246,2.17,0.003239965965113423,2e-05
46,725.52685546875,0.003204202764111403,factual,0.476,2.1,0.0025751371727981798,-0.00063
5,663.078125,0.002928405399375763,reasoning,0.417,1.79,0.0023763549807679953,-0.00055
100,640.880859375,0.002830373825030541,social_ethical,0.276,2.45,0.0027344575131547835,-0.0001
93,611.8466796875,0.002702147835727514,social_ethical,0.402,3.58,0.0026798128647522266,-2e-05
23,602.906982421875,0.0026626667297244455,reasoning,0.733,3.16,0.002411454308126621,-0.00025
79,601.144775390625,0.002654884152693827,computational,0.425,4.38,0.0030203440885858994,0.00037
28,592.45361328125,0.0026165006725451735,creative,0.392,8.03,0.0026730477594451604,6e-05
78,587.58837890625,0.0025950139456033393,reasoning,0.493,2.12,0.002413593903902028,-0.00018
7,572.755126953125,0.0025295046587303447,computational,0.338,3.48,0.0018998658111167744,-0.00063
55,571.86767578125,0.002525585336548813,symbolic,0.307,1.56,0.0017701340132486028,-0.00076
94,556.257080078125,0.0024566430037814583,symbolic,0.45,1.61,0.0022768459201906776,-0.00018
92,553.095703125,0.002442681159784579,social_ethical,0.332,2.96,0.0027528415867191947,0.00031
42,551.8916015625,0.0024373633889457026,social_ethical,0.487,4.33,0.0023276843175350117,-0.00011
41,494.282958984375,0.002182941694704938,factual,0.259,1.51,0.0023377589240465265,0.00015
18,453.76318359375,0.0020039909428076416,factual,0.266,1.82,0.0021634960450601574,0.00016
47,442.5185546875,0.0019543303813119063,symbolic,0.658,2.36,0.0013005982593065324,-0.00065
71,423.884765625,0.001872036475896984,social_ethical,0.506,4.5,0.002221827897715022,0.00035
120,368.482666015625,0.0016273597153224325,reasoning,0.487,2.09,0.0016479064931278627,2e-05
96,353.88916015625,0.0015629092384583138,social_ethical,0.326,2.9,0.0016604172301858831,0.0001
113,335.785888671875,0.0014829583006088576,social_ethical,0.534,4.75,0.001612351541175688,0.00013
70,292.6044921875,0.0012922528168207604,social_ethical,0.718,6.39,0.0012002840094237507,-9e-05
48,268.132568359375,0.0011841754860063957,factual,0.441,4.21,0.0010994708451998142,-8e-05
99,258.402587890625,0.0011412041885585902,symbolic,0.409,2.79,0.0016406825164961773,0.0005
13,225.451171875,0.000995678192542309,factual,0.551,2.39,0.00043798618588710423,-0.00056
125,200.38720703125,0.0008849861832437036,creative,0.683,14.0,0.0007540825116847923,-0.00013
82,186.799560546875,0.0008249779642579651,social_ethical,0.46,4.09,0.0006648006539792993,-0.00016
10,138.57958984375,0.0006120202187965651,symbolic,0.563,5.86,0.0011378558644017055,0.00053
63,137.7890625,0.0006085289491338965,creative,0.98,20.1,0.0005058298783346107,-0.0001
25,136.178466796875,0.0006014159454388302,factual,0.563,2.45,0.00022590754787985763,-0.00038
4,134.56494140625,0.0005942900031285841,creative,0.388,7.95,0.0005177204897581808,-8e-05
91,121.0791015625,0.0005347314010203419,factual,0.414,1.8,0.00024102324550004527,-0.00029
103,117.81884765625,0.000520332878761146,social_ethical,0.971,8.64,0.000730313193518244,0.00021
89,113.059326171875,0.000499313020183714,symbolic,0.348,1.83,0.00017951825434568968,-0.00032
2,102.224853515625,0.00045146386481314355,creative,0.476,9.76,0.0005310753768945104,8e-05
20,25.54296875,0.00011280747288049411,symbolic,0.507,1.82,2.330395337978813e-05,-9e-05
126,15.41015625,6.80571158454732e-05,factual,0.385,1.67,8.535331311028424e-05,2e-05
