layer,expert,total_mass,selectivity,top_category,share_computational,share_creative,share_factual,share_reasoning,share_social_ethical,share_symbolic
1,95,1924.155029296875,0.2683720367820747,factual,0.09780267033304874,0.05184252320576491,0.2683720367820747,0.23026347426496943,0.11288862209835156,0.23883067331579064
1,96,1804.87646484375,0.31919987003525335,symbolic,0.06344066516844692,0.037138156800140244,0.19978569614058267,0.16083678467649626,0.21959882717908055,0.31919987003525335
1,97,2043.764892578125,0.2830962384281173,symbolic,0.09445769281354387,0.015490975612873615,0.2654010548709448,0.23805553309113167,0.10349850518338874,0.2830962384281173
1,98,2323.2122802734375,0.2871149297581857,symbolic,0.13978773896574437,0.049695259317913666,0.2067490885627731,0.22682217168096164,0.0898308117144215,0.2871149297581857
1,99,2193.1329345703125,0.2755296698317864,symbolic,0.08963247263116267,0.027905429907194895,0.2728875337475012,0.1827259548445145,0.15131893903784033,0.2755296698317864
1,100,1899.679931640625,0.3841191123761725,symbolic,0.10056921338388496,0.04710715942202949,0.1716083057268719,0.20040793775781257,0.09618827133322855,0.3841191123761725
1,101,2048.1597900390625,0.3860912684517858,symbolic,0.04779091129881798,0.042066987413971135,0.22683698358467147,0.21707587526317124,0.08013797398758234,0.3860912684517858
1,102,1960.3577270507812,0.2971918272275534,symbolic,0.100241415376141,0.031583977097810384,0.22633954803806067,0.2506052819837389,0.09403795027669566,0.2971918272275534
1,103,1569.0416870117188,0.30291491726882985,symbolic,0.03961547083793208,0.06366299468331395,0.2020471013174958,0.2857672559093318,0.10599225998309655,0.30291491726882985
1,104,1913.0006103515625,0.2878431088778143,symbolic,0.08489199460848847,0.04920357282397932,0.23123096161575865,0.2389451265086415,0.10788523556531777,0.2878431088778143
1,105,1621.7395629882812,0.26143425316894653,symbolic,0.0782399526754797,0.04597242341068868,0.25047935534416804,0.22858047402124929,0.13529354137946775,0.26143425316894653
1,106,1625.0380249023438,0.31352004495988545,factual,0.09153601912034585,0.0625685479189696,0.31352004495988545,0.21329150839056013,0.07278675833269076,0.24629712127754824
1,107,2017.715576171875,0.3259900130230721,symbolic,0.07694950114119767,0.07090774188544512,0.23162945820607816,0.21007816747237573,0.0844451182718312,0.3259900130230721
1,108,2032.6156616210938,0.3396825601777651,symbolic,0.11069366674298756,0.03382353360683735,0.20153886922479253,0.2570323588032385,0.05722901144437897,0.3396825601777651
1,109,2490.4061279296875,0.3597732744609232,symbolic,0.12166356957635324,0.023240946077885707,0.20680833434674384,0.2257260001724391,0.06278787536565493,0.3597732744609232
1,110,1524.6592407226562,0.2931197364677534,reasoning,0.06871284355010647,0.043164582313935176,0.26188088663030135,0.2931197364677534,0.1397909376923162,0.1933310133455874
1,111,1825.4219970703125,0.30243916335431054,symbolic,0.07471610835920124,0.05218239013520057,0.22509731101481043,0.2033046725002118,0.1422603546362654,0.30243916335431054
1,112,1592.1813354492188,0.28517667454474854,reasoning,0.11728455615723794,0.05908538424710995,0.20614062577447265,0.28517667454474854,0.12647919124134857,0.20583356803508232
1,113,1995.84130859375,0.27623338127644814,symbolic,0.08124364064633419,0.044263486845082904,0.23892662061224476,0.21460823200977228,0.14472463861011778,0.27623338127644814
